"","1","2","3","4","5","6"
"9. Cristiano Ronaldo – €105m",0.884045370487179,0.0231909259025642,0.0231909259025642,0.0231909259025642,0.0231909259025642,0.0231909259025642
"10. Zlatan Ibrahimovic (£146m)",0.0231909259025642,0.0231909259025642,0.0231909259025642,0.0231909259025642,0.0231909259025642,0.884045370487179
"1. Eden Hazard to Real Madrid - 2019",0.0124625147173942,0.0124625148618192,0.0124625147173942,0.0124625147173945,0.937687426268604,0.0124625147173942
"2. Alexis Sanchez to Manchester United - 2018",0.0124625147173942,0.0124625147173942,0.0124625147173942,0.937687426413029,0.0124625147173942,0.0124625147173942
"3. Antoine Griezmann to Barcelona - 2020",0.317113974128986,0.618035677552279,0.0162125870796838,0.0162125870796838,0.0162125870796838,0.0162125870796838
"4. Mario Balotelli to Liverpool - 2014",0.0162125875625653,0.91893706383247,0.0162125873659133,0.0162125870796838,0.0162125870796838,0.0162125870796838
"5. Andriy Shevchenko to Chelsea -2006",0.0162125870796837,0.0162125870797154,0.91893706460155,0.0162125870796837,0.0162125870796838,0.0162125870796837
"6. Philippe Coutinho to Barcelona - 2018",0.918937064601576,0.0162125870796892,0.0162125870796838,0.0162125870796838,0.0162125870796837,0.0162125870796837
"7. Oscar to Shanghai SIPG - 2016",0.0162125870796837,0.918937064601581,0.0162125870796837,0.0162125870796837,0.0162125870796837,0.0162125870796837
"8. Willian to Arsenal - 2020",0.0231909259025642,0.0231909259025642,0.0231909259025642,0.0231909259083765,0.884045370481367,0.0231909259025642
"9. Nicolas Pepe to Arsenal - 2019",0.0162125870796838,0.0162125870796838,0.0162125870796838,0.0162125870821808,0.918937064599084,0.0162125870796838
"10. Danny Drinkwater to Chelsea- 2017",0.0162125870796837,0.0162125870797154,0.91893706460155,0.0162125870796837,0.0162125870796837,0.0162125870796837
